rxn,rxnNames,subSystem
DNDPt38m,"Transport of dUTP via dUDP Antiport","Transport, mitochondrial"
DNDPt39m,"Transport of dUTP via dGDP Antiport","Transport, mitochondrial"
DNDPt3m,"Transport of dATP via dCDP Antiport","Transport, mitochondrial"
DNDPt40m,"Transport of dUTP via dADP Antiport","Transport, mitochondrial"
DNDPt41m,"Transport of dUTP via dCDP Antiport","Transport, mitochondrial"
DNDPt42m,"Transport of dUTP via ADP Antiport","Transport, mitochondrial"
DNDPt43m,"Transport of dUTP via ATP Antiport","Transport, mitochondrial"
DNDPt44m,"Transport of dTTP via ATP Antiport","Transport, mitochondrial"
DNDPt45m,"Transport of dTTP via ADP Antiport","Transport, mitochondrial"
DNDPt46m,"Transport of dTTP via dUDP Antiport","Transport, mitochondrial"
DNDPt47m,"Transport of dTTP via dTDP Antiport","Transport, mitochondrial"
DNDPt48m,"Transport of dTTP via dGDP Antiport","Transport, mitochondrial"
DNDPt49m,"Transport of dTTP via dADP Antiport","Transport, mitochondrial"
DNDPt4m,"Transport of dATP via dUDP Antiport","Transport, mitochondrial"
DNDPt50m,"Transport of dTTP via dCDP Antiport","Transport, mitochondrial"
DNDPt51m,"Transport of dCTP via dCDP Antiport","Transport, mitochondrial"
DNDPt52m,"Transport of dCTP via dUDP Antiport","Transport, mitochondrial"
DNDPt53m,"Transport of dCTP via dGDP Antiport","Transport, mitochondrial"
DNDPt54m,"Transport of dCTP via dADP Antiport","Transport, mitochondrial"
DNDPt55m,"Transport of dCTP via ADP Antiport","Transport, mitochondrial"
DNDPt56m,"Transport of dCTP via ATP Antiport","Transport, mitochondrial"
DNDPt57m,"Transport of dGTP via ATP Antiport","Transport, mitochondrial"
DNDPt58m,"Transport of dGTP via ADP Antiport","Transport, mitochondrial"
DNDPt59m,"Transport of dGTP via dADP Antiport","Transport, mitochondrial"
DNDPt5m,"Transport of dATP via dTDP Antiport","Transport, mitochondrial"
DNDPt60m,"Transport of dGTP via dUDP Antiport","Transport, mitochondrial"
DNDPt61m,"Transport of dGTP via dTDP Antiport","Transport, mitochondrial"
DNDPt62m,"Transport of dGTP via dGDP Antiport","Transport, mitochondrial"
DNDPt63m,"Transport of dGTP via dCDP Antiport","Transport, mitochondrial"
DNDPt6m,"Transport of dATP via dGDP Antiport","Transport, mitochondrial"
DNDPt7m,"Transport of dATP via dADP Antiport","Transport, mitochondrial"
DOGULNO1,"2, 3-Dioxo-L-Gulonate:Hydrogen Peroxide Oxireductase","Vitamin C metabolism"
DOLGLCP_Lter,"Dolichyl Beta-D-Glucosyl Phosphate Flippase (Liver)","N-glycan synthesis"
DOLGPP_Ler,"Dolichyl-Beta-D-Glucosyl-Phosphate Dolichylphosphohydrolase (Liver)","N-glycan synthesis"
DOLICHOL_Lter,"Dolichol Diffusion, Human (Liver)","N-glycan synthesis"
DOLICHOL_Uter,"Dolichol Diffusion, Human (Uterus)","N-glycan synthesis"
DOLK_L,"Dolichol Kinase, Human (Liver)","N-glycan synthesis"
DOLK_U,"Dolichol Kinase, Human (Uterus)","N-glycan synthesis"
DOLMANP_Uter,"Dolichol-Phosphate Mannose Flippase (Uterus)","N-glycan synthesis"
DOLPGT3_Ler,"Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Liver)","N-glycan synthesis"
DOLPGT3_Uer,"Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Uterus)","N-glycan synthesis"
DOLPMT3_Uer,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)","N-glycan synthesis"
DOLPMT4_Ler,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)","N-glycan synthesis"
DOLPMT4_Uer,"Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)","N-glycan synthesis"
DOPABMO,"Dopamine Beta-Monooxygenase","Tyrosine metabolism"
DOPACHRMISO,"L-Dopachrome Isomerase 1","Tyrosine metabolism"
DOPAMT,"Dopamine:Amet O-Methyltransferase","Tyrosine metabolism"
DOPAQNISO1,"Dopaquinone Isomerase 1","Tyrosine metabolism"
DOPASFt,"Transport of Dopamine 3-0-Sulfate (Diffusion)","Transport, extracellular"
DOPASULT,"Dopamine Sulfotransferase","Tyrosine metabolism"
DOPAt4_2_r,"Transport of Dopamine  via Sodium Symport (1:2), Reversible","Transport, extracellular"
DOPAtu,"Transport of Dopamine via Uniport","Transport, extracellular"
DOPAVESSEC,"Secretion of Dopamine via Secretory Vesicle (ATP Driven)","Transport, extracellular"
DORNOp,"D-Ornithine Oxidase, Perixosomal","Arginine and proline metabolism"
DPCOAtl,"Transport of Dephospho Coenzyme A   via Diffusion, Lysosomal","Transport, lysosomal"
DPGase,"Diphosphoglycerate Phosphatase","Glycolysis/gluconeogenesis"
DPGM,"Diphosphoglyceromutase","Glycolysis/gluconeogenesis"
DPHMBDCm,"3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate Decarboxylation","Ubiquinone synthesis"
DPMVDx,"Diphosphomevalonate Decarboxylase","Cholesterol metabolism"
DPPS,"Decaprenyl Synthase","Miscellaneous"
DRIBt,"Transport of Deoxyribose  via Diffusion","Transport, extracellular"
DRPA,"Deoxyribose-Phosphate Aldolase","Pentose phosphate pathway"
DSAT,"Dihydrosphingosine N-Acyltransferase","Sphingolipid metabolism"
DTDPtn,"Transport of dTDP, Nuclear","Transport, nuclear"
DTTPtn,"Transport of dTTP, Nuclear","Transport, nuclear"
DUDPtn,"Transport of dUDP, Nuclear","Transport, nuclear"
DUMPtn,"Transport of dUMP, Nuclear","Transport, nuclear"
DURAD,"Dihydrouracil Dehydrogenase (NADP)","Pyrimidine catabolism"
DURAD2,"Dihydrothymin Dehydrogenase (NADP)","Pyrimidine catabolism"
DURIK1,"Deoxyuridine Kinase (ATP:Deoxyuridine)","Nucleotide interconversion"
DURIK1m,"Deoxyuridine Kinase (ATP:Deoxyuridine), Mitochondrial","Nucleotide interconversion"
DURIt,"Transport of Deoxyuridine via_Diffusion","Transport, extracellular"
DURItn,"Transport of Deoxyuridine, Nuclear","Transport, nuclear"
DUTPDPm,"DUTP Diphosphatase","Nucleotide interconversion"
DUTPDPn,"DUTP Diphosphatase, Nuclear","Nucleotide interconversion"
EAFLATOXINte,"Transport of Aflatoxin B1 Exo-8,9-Epoxide","Transport, extracellular"
EBASTINEOHte,"Transport of Hydroxylated Ebastine","Transport, extracellular"
EBASTINEOHtr,"Transport of Hydroxylated Ebastine","Transport, endoplasmic reticular"
EBASTINEte,"Transport of Ebastine","Transport, extracellular"
EBASTINEtr,"Transport of Ebastine","Transport, endoplasmic reticular"
EBP1r,"3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase","Cholesterol metabolism"
EBP2r,"3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase","Cholesterol metabolism"
ECOAH12m,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxyisobutyryl Coenzyme A), Mitochondrial","Valine, leucine, and isoleucine metabolism"
ECOAH1m,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A), Mitochondrial","Tryptophan metabolism"
ECOAH1x,"3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A) (Perioxisome)","Tryptophan metabolism"
ECOAH9m,"2-Methylprop-2-Enoyl Coenzyme A (2-Methylbut-2-Enoyl Coenzyme A), Mitochondrial","Valine, leucine, and isoleucine metabolism"
EHGLAT2m,"L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase 2, Mitochondrial","Arginine and proline metabolism"
EHGLATm,"L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase, Mitochondrial","Arginine and proline metabolism"
EICOSTETCPT1,"Carnitine O-Palmitoyltransferase","Fatty acid oxidation"
EICOSTETCPT2,"Carnitine Transferase","Fatty acid oxidation"
EICOSTETCRNt,"Transport of 8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine, Mitochondrial","Fatty acid oxidation"
EICOSTETt,"Transport of Omega-3-Arachidonic Acid (Diffusion)","Transport, extracellular"
ELAIDCPT1,"Carnitine O-Palmitoyltransferase","Fatty acid oxidation"
ELAIDCPT2,"Carnitine Transferase","Fatty acid oxidation"
ELAIDCRNt,"Transport of (9E)-Octadecenoylcarnitine, Mitochondrial","Fatty acid oxidation"
ELAIDt,"Fatty Acid Transport via Diffusion","Transport, extracellular"
ENGASE2ly,"Endo-Beta-N-Acetylglucosaminidase, Lysosomal","N-glycan degradation"
ENGASE3ly,"Endo-Beta-N-Acetylglucosaminidase, Lysosomal","Keratan sulfate degradation"
ENGASEly,"Endo-Beta-N-Acetylglucosaminidase, Lysosomal","N-glycan degradation"
ESTRADIOLGLCt,"Estradiol Glucuronide Transport via Bicarbonate Antiport","Transport, extracellular"
ESTRADIOLGLCt2,"17-Beta-D-Glucuronide Transport (ATP-Dependent)","Transport, extracellular"
ESTRADIOLGLCtr,"Glucuronidated Compound Transport","Transport, endoplasmic reticular"
ESTRADIOLt,"Transport of Estradiol ","Transport, extracellular"
ESTRADIOLtr,"Transport of Estradiol, Endoplasmatic Reticulum","Transport, endoplasmic reticular"
ESTRIOLGLCte,"Glucuronidated Compound Transport","Transport, extracellular"
ESTRIOLGLCtr,"Glucuronidated Compound Transport","Transport, endoplasmic reticular"
ESTRIOLtr,"Transport of Estriol, Endoplasmatic Reticulum","Transport, endoplasmic reticular"
ESTRONEGLCt,"ABC Transporter","Transport, extracellular"
ESTRONEGLCtr,"Glucuronidated Compound Transport","Transport, endoplasmic reticular"
ESTRONESt,"Transport of Estrone 3-Sulfate  via Bicarbonate Antiport","Transport, extracellular"
ESTRONESt2,"Transport of Estrone-3-Sulfate  via Sodium Symport","Transport, extracellular"
ESTRONEtr,"Transport of Estrone, Endoplasmatic Reticulum","Transport, endoplasmic reticular"
ESTSULT,"Estrogen Sulfotransferase","Steroid metabolism"
ETF,"Electron Transfer Flavoprotein","Fatty acid oxidation"
ETFQO,"Electron Transfer Flavoprotein-Ubiquinone Oxidoreductase","Fatty acid oxidation"
ETHAK,"Ethanolamine Kinase","Glycerophospholipid metabolism"
ETHP,"Ethanolamine Phosphate Phosphatase","Glycerophospholipid metabolism"
ETOHMO,"Ethanol Monooxygenase","Glycolysis/gluconeogenesis"
ETOHtx,"Transport of Ethanol, Reversible, Peroxisomal ","Transport, peroxisomal"
EX_10fthf[e],"Exchange of 10-Formyltetrahydrofolate ","Exchange/demand reaction"
EX_10fthf5glu[e],"Exchange of 10-Formyltetrahydrofolate-[Glu] (5) ","Exchange/demand reaction"
EX_10fthf6glu[e],"Exchange of 10-Formyltetrahydrofolate-[Glu] (6) ","Exchange/demand reaction"
EX_10fthf7glu[e],"Exchange of 10-Formyltetrahydrofolate-[Glu] (7) ","Exchange/demand reaction"
EX_11_cis_retfa[e],"Exchange of Fatty Acid 11-Cis-Retinol ","Exchange/demand reaction"
EX_13_cis_retnglc[e],"Exchange of 13-Cis-Retinoyl Glucuronide ","Exchange/demand reaction"
EX_1glyc_hs[e],"Exchange of 1 Acyl Phosphoglycerol ","Exchange/demand reaction"
EX_2425dhvitd2[e],"Exchange of 24R, 25-Dihyoxyvitamin D2 ","Exchange/demand reaction"
EX_2425dhvitd3[e],"Exchange of 24R, 25-Dihydroxyvitamin D3 ","Exchange/demand reaction"
EX_24nph[e],"Exchange of 2, 4 Dihydroxy Nitrophenol ","Exchange/demand reaction"
EX_25hvitd2[e],"Exchange of 25-Hydroxyvitamin D2 ","Exchange/demand reaction"
EX_25hvitd3[e],"Exchange of 25-Hydroxyvitamin D3 ","Exchange/demand reaction"
EX_2hb[e],"Exchange of 2-Hydroxybutyrate ","Exchange/demand reaction"
EX_2mcit[e],"Exchange of 2-Methylcitrate ","Exchange/demand reaction"
EX_34dhoxpeg[e],"Exchange of 3, 4-Dihydroxyphenylethyleneglycol ","Exchange/demand reaction"
EX_34dhphe[e],"Exchange of 3, 4-Dihydroxy-L-Phenylalanine ","Exchange/demand reaction"
EX_35cgmp[e],"Exchange of 3', 5'-Cyclic GMP ","Exchange/demand reaction"
EX_3aib[e],"Exchange of L-3-Amino-Isobutanoate ","Exchange/demand reaction"
EX_3aib_D[e],"Exchange of D-3-Amino-Isobutanoate ","Exchange/demand reaction"
EX_3mlda[e],"Exchange of 3-Methylimidazoleacetic Acid ","Exchange/demand reaction"
EX_4hdebrisoquine[e],"Exchange of 4 Hydroxy Debrisoquine ","Exchange/demand reaction"
EX_4hphac[e],"Exchange of 4-Hydroxyphenylacetate ","Exchange/demand reaction"
EX_4mptnl[e],"Exchange of 4-Methylpentanal ","Exchange/demand reaction"
EX_4mtolbutamide[e],"Exchange of 4 Hydroxy Tolbutamide ","Exchange/demand reaction"
EX_4nph[e],"Exchange of 4-Nitrophenol ","Exchange/demand reaction"
EX_4nphsf[e],"Exchange of 4-Nitrophenyl Sulfate ","Exchange/demand reaction"
EX_4pyrdx[e],"Exchange of 4-Pyridoxate ","Exchange/demand reaction"
EX_5adtststerone[e],"Exchange of 5Alpha-Dihydrotestosterone ","Exchange/demand reaction"
EX_5adtststeroneglc[e],"Exchange of 5Alpha-Dihydrotestosterone Glucuronide ","Exchange/demand reaction"
EX_5adtststerones[e],"Exchange of 5Alpha-Dihydrotestosterone Sulfate ","Exchange/demand reaction"
EX_5dhf[e],"Exchange of Pentaglutamyl Folate (Dhf) ","Exchange/demand reaction"
EX_5fthf[e],"Exchange of 5-Formyltetrahydrofolate ","Exchange/demand reaction"
EX_5homeprazole[e],"Exchange of 5 Hydroxy Omeprazole ","Exchange/demand reaction"
EX_5htrp[e],"Exchange of 5-Hydroxy-L-Tryptophan ","Exchange/demand reaction"
EX_5mthf[e],"Exchange of 5-Methyltetrahydrofolate","Exchange/demand reaction"
EX_5thf[e],"Exchange of Pentaglutamyl Folate (Thf) ","Exchange/demand reaction"
EX_6dhf[e],"Exchange of Haxglutamyl Folate (Dhf) ","Exchange/demand reaction"
EX_6htststerone[e],"Exchange of 6 Beta Hydroxy Testosterone ","Exchange/demand reaction"
EX_6thf[e],"Exchange of Hexaglutamyl Folate (Thf) ","Exchange/demand reaction"
EX_7dhf[e],"Exchange of Heptaglutamyl Folate (Dhf) ","Exchange/demand reaction"
EX_7thf[e],"Exchange of Heptaglutamyl Folate (Thf) ","Exchange/demand reaction"
EX_9_cis_retfa[e],"Exchange of Fatty Acid 9-Cis-Retinol ","Exchange/demand reaction"
EX_abt[e],"Exchange of L-Arabinitol ","Exchange/demand reaction"
EX_acetone[e],"Exchange of Acetone ","Exchange/demand reaction"
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],"Exchange of Type Iiia Glycolipid ","Exchange/demand reaction"
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],"Exchange of Type Iiiab ","Exchange/demand reaction"
EX_ach[e],"Exchange of Acetylcholine ","Exchange/demand reaction"
EX_acn13acngalgbside_hs[e],"Exchange of Sialyl (1, 3) Sialyl (2, 6) Galactosylgloboside (Homo Sapiens) ","Exchange/demand reaction"
EX_acn23acngalgbside_hs[e],"Exchange of Sialyl (2, 3) Sialyl (2, 6) Galactosylgloboside (Homo Sapiens) ","Exchange/demand reaction"
EX_acnacngal14acglcgalgluside_hs[e],"Exchange of 3', 8'-Ld1 ","Exchange/demand reaction"
EX_acnacngalgbside_hs[e],"Exchange of Disialyl Galactosylgloboside (Homo Sapiens) ","Exchange/demand reaction"
EX_acngalacglcgal14acglcgalgluside_hs[e],"Exchange of Vi3Neuac-Nlc6Cer ","Exchange/demand reaction"
EX_adp[e],"Exchange of ADP ","Exchange/demand reaction"
EX_adprbp[e],"Exchange of ADPribose 2'-Phosphate ","Exchange/demand reaction"
EX_adrn[e],"Exchange of Adrenic Acid ","Exchange/demand reaction"
EX_adrnl[e],"Exchange of Adrenaline ","Exchange/demand reaction"
EX_aflatoxin[e],"Exchange of Aflatoxin B1 ","Exchange/demand reaction"
EX_ahandrostanglc[e],"Exchange of Etiocholan-3Alpha-Ol-17-One 3-Glucuronide ","Exchange/demand reaction"
EX_ak2lgchol_hs[e],"Exchange of 1-Alkyl 2-Lysoglycerol 3-Phosphocholine ","Exchange/demand reaction"
EX_ala_B[e],"Exchange of Beta-Alanine ","Exchange/demand reaction"
EX_ala_D[e],"Exchange of D-Alanine ","Exchange/demand reaction"
EX_aldstrn[e],"Exchange of Aldosterone ","Exchange/demand reaction"
EX_amp[e],"Exchange of AMP ","Exchange/demand reaction"
EX_andrstrn[e],"Exchange of Androsterone ","Exchange/demand reaction"
EX_andrstrnglc[e],"Exchange of Androsterone Glucuronide ","Exchange/demand reaction"
EX_antipyrene[e],"Exchange of Antipyrene ","Exchange/demand reaction"
EX_apnnox[e],"Exchange of Alpha-Pinene-Oxide ","Exchange/demand reaction"
EX_appnn[e],"Exchange of (+)-Alpha-Pinene ","Exchange/demand reaction"
EX_aprgstrn[e],"Exchange of 20Alpha-Hydroxyprogesterone ","Exchange/demand reaction"
EX_aqcobal[e],"Exchange of Aquacob (III)Alamin ","Exchange/demand reaction"
EX_arach[e],"Exchange of Arachidate","Exchange/demand reaction"
EX_arachd[e],"Exchange of Nc20:4 ","Exchange/demand reaction"
EX_ascb_L[e],"Exchange of L-Ascorbate ","Exchange/demand reaction"
EX_asp_D[e],"Exchange of D-Aspartate ","Exchange/demand reaction"
EX_atp[e],"Exchange of ATP ","Exchange/demand reaction"
EX_avite1[e],"Exchange of Alpha-Tocopherol ","Exchange/demand reaction"
EX_avite2[e],"Exchange of Alpha-Tocotrienol ","Exchange/demand reaction"
EX_bhb[e],"Transport of (R)-3-Hydroxybutanoate  via H+ Symport","Exchange/demand reaction"
EX_bildglcur[e],"Exchange of Bilirubin Beta-Diglucuronide ","Exchange/demand reaction"
EX_bilglcur[e],"Exchange of Blirubin Mono-Glucuronide","Exchange/demand reaction"
EX_bilirub[e],"Exchange of Bilirubin ","Exchange/demand reaction"
EX_biocyt[e],"Exchange of Biocytin ","Exchange/demand reaction"
EX_bvite[e],"Exchange of Beta-Tocopherol ","Exchange/demand reaction"
EX_camp[e],"Exchange of CAMP ","Exchange/demand reaction"
EX_caro[e],"Exchange of Beta-Carotene ","Exchange/demand reaction"
EX_carveol[e],"Exchange of (E)-Carveol ","Exchange/demand reaction"
EX_chol[e],"Exchange of Choline","Exchange/demand reaction"
EX_cholate[e],"Exchange of Cholate","Exchange/demand reaction"
EX_chsterol[e],"Exchange of Cholesterol","Exchange/demand reaction"
EX_chtn[e],"Exchange of Chitin ","Exchange/demand reaction"
EX_clpnd[e],"Exchange of Clupanodonic Acid (Docosapentaenoic (N-3)) ","Exchange/demand reaction"
EX_cmp[e],"Exchange of CMP ","Exchange/demand reaction"
EX_co[e],"Exchange of Carbon Monoxide ","Exchange/demand reaction"
EX_coumarin[e],"Exchange of Coumarin ","Exchange/demand reaction"
EX_creat[e],"Exchange of Creatine ","Exchange/demand reaction"
EX_crmp_hs[e],"Exchange of Ceramide 1-Phosphate ","Exchange/demand reaction"
EX_crn[e],"Exchange of L-Carnitine","Exchange/demand reaction"
EX_crtsl[e],"Exchange of Cortisol ","Exchange/demand reaction"
EX_crtstrn[e],"Exchange of Corticosterone ","Exchange/demand reaction"
EX_crvnc[e],"Exchange of Nc22:6 ","Exchange/demand reaction"
EX_cspg_a[e],"Exchange of Chondroitin Sulfate A (Galnac4S-Glca) Proteoglycan ","Exchange/demand reaction"
EX_cspg_b[e],"Exchange of Chondroitin Sulfate B / Dermatan Sulfate (Idoa2S-Galnac4S) Proteoglycan ","Exchange/demand reaction"
EX_cspg_c[e],"Exchange of Chondroitin Sulfate C (Galnac6S-Glca) Proteoglycan ","Exchange/demand reaction"
EX_cspg_d[e],"Exchange of Chondroitin Sulfate D (GlcNac6S-Glca2S) Proteoglycan ","Exchange/demand reaction"
EX_cspg_e[e],"Exchange of Chondroitin Sulfate E (Galnac4, 6Dis-Glca) Proteoglycan ","Exchange/demand reaction"
EX_cyan[e],"Exchange of Hydrogen Cyanide ","Exchange/demand reaction"
EX_dag_hs[e],"Exchange of Diglyceride","Exchange/demand reaction"
EX_dcsptn1[e],"Exchange of Docosa-4, 7, 10, 13, 16-Pentaenoic Acid (N-6) ","Exchange/demand reaction"
EX_debrisoquine[e],"Exchange of Debrisoquine ","Exchange/demand reaction"
EX_dgchol[e],"Exchange of Chenodeoxyglycocholate ","Exchange/demand reaction"
EX_dhdascb[e],"Exchange of Dehydroascorbide","Exchange/demand reaction"
EX_dheas[e],"Exchange of Dehydroepiandrosterone Sulfate ","Exchange/demand reaction"
EX_dhf[e],"Exchange of 7, 8-Dihydrofolate ","Exchange/demand reaction"
EX_digalsgalside_hs[e],"Exchange of Digalactosylceramidesulfate ","Exchange/demand reaction"
EX_dlnlcg[e],"Exchange of Dihomo-Gamma-Linolenic Acid (N-6) ","Exchange/demand reaction"
EX_dmantipyrine[e],"Exchange of Demethylated Antipyrine ","Exchange/demand reaction"
EX_dmhptcrn[e],"Exchange of 2, 6 Dimethylheptanoyl Carnitine ","Exchange/demand reaction"
EX_dopa[e],"Exchange of Dopamine ","Exchange/demand reaction"
EX_dopasf[e],"Exchange of Dopamine 3-O-Sulfate ","Exchange/demand reaction"
EX_eaflatoxin[e],"Exchange of 8, 9 Epxoy Aflatoxin B1 ","Exchange/demand reaction"
EX_ebastine[e],"Exchange of Ebastine ","Exchange/demand reaction"
EX_ebastineoh[e],"Exchange of Hydroxylated Ebastine ","Exchange/demand reaction"
EX_eicostet[e],"Exchange of Eicosatetranoic Acid ","Exchange/demand reaction"
EX_elaid[e],"Exchange of Elaidic Acid ","Exchange/demand reaction"
EX_estradiol[e],"Exchange of Estradiol ","Exchange/demand reaction"
EX_estradiolglc[e],"Exchange of Estradiol Glucuronide ","Exchange/demand reaction"
EX_estriolglc[e],"Exchange of 16-Glucuronide-Estriol ","Exchange/demand reaction"
EX_estroneglc[e],"Exchange of Estrone Glucuronide ","Exchange/demand reaction"
EX_estrones[e],"Exchange of Estrone 3-Sulfate ","Exchange/demand reaction"
EX_fuc13galacglcgal14acglcgalgluside_hs[e],"Exchange of Iii3Fuc-Nlc6Cer ","Exchange/demand reaction"
EX_fuc14galacglcgalgluside_hs[e],"Exchange of Lea Glycolipid ","Exchange/demand reaction"
EX_fucacgalfucgalacglcgalgluside_hs[e],"Exchange of (Gal)2 (Galnac)1 (Glc)1 (GlcNac)1 (LFuc)2 (Cer)1 ","Exchange/demand reaction"
EX_fucacngal14acglcgalgluside_hs[e],"Exchange of Iv3-A-Neuac, Iii3-A-Fuc-Nlc4Cer ","Exchange/demand reaction"
EX_fucacngalacglcgalgluside_hs[e],"Exchange of Iv3-A-Neu5Ac, Iii4-A-Fuc-Lc4Cer ","Exchange/demand reaction"
EX_fucfuc12gal14acglcgalgluside_hs[e],"Exchange of Ley Glycolipid ","Exchange/demand reaction"
EX_fucfuc132galacglcgal14acglcgalgluside_hs[e],"Exchange of V3Fuc, Iii3Fuc-Nlc6Cer ","Exchange/demand reaction"
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],"Exchange of (Gal)4 (Glc)1 (GlcNac)3 (LFuc)3 (Cer)1 ","Exchange/demand reaction"
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],"Exchange of (Gal)3 (Glc)1 (GlcNac)2 (LFuc)3 (Cer)1 ","Exchange/demand reaction"
EX_fucfucgalacglcgalgluside_hs[e],"Exchange of Leb Glycolipid ","Exchange/demand reaction"
EX_fucgal14acglcgalgluside_hs[e],"Exchange of Lacto-N-Fucopentaosyl Iii Ceramide ","Exchange/demand reaction"
EX_fucgalfucgalacglcgalgluside_hs[e],"Exchange of (Gal)3 (Glc)1 (GlcNac)1 (LFuc)2 (Cer)1 ","Exchange/demand reaction"
EX_fucgalgbside_hs[e],"Exchange of Fucosyl Galactosylgloboside (Homo Sapiens) ","Exchange/demand reaction"
EX_fuc_L[e],"Exchange of L-Fucose ","Exchange/demand reaction"
EX_galacglcgalgbside_hs[e],"Exchange of Gal-GlcNac-Gal Globoside (Homo Sapiens) ","Exchange/demand reaction"
EX_galfuc12gal14acglcgalgluside_hs[e],"Exchange of (Gal)3 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1 ","Exchange/demand reaction"
EX_galfucgalacglcgal14acglcgalgluside_hs[e],"Exchange of (Gal)4 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1 ","Exchange/demand reaction"
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e],"Exchange of (Gal)6 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1 ","Exchange/demand reaction"
EX_galgalgalthcrm_hs[e],"Exchange of Gal-Gal-Gal-Gal-Gal-Glc-Cer (Homo Sapiens) ","Exchange/demand reaction"
EX_gbside_hs[e],"Exchange of Globoside (Homo Sapiens) ","Exchange/demand reaction"
EX_gchola[e],"Exchange of Glycocholate ","Exchange/demand reaction"
EX_gd1b2_hs[e],"Exchange of Gd1Beta (Homo Sapiens) ","Exchange/demand reaction"
EX_gd1c_hs[e],"Exchange of Gd1C (Homo Sapiens) ","Exchange/demand reaction"
EX_gdp[e],"Exchange of GDP ","Exchange/demand reaction"
EX_gluala[e],"Exchange of 5-L-Glutamyl-L-Alanine ","Exchange/demand reaction"
EX_glyc_S[e],"Exchange of (S)-Glycerate ","Exchange/demand reaction"
EX_glygn2[e],"Exchange of Glycogen, Structure 2 (Glycogenin-1, 6-{7[1, 4-Glc], 4[1, 4-Glc]}) ","Exchange/demand reaction"
EX_glygn4[e],"Exchange of Glycogen, Structure 4 (Glycogenin-1, 6-{2[1, 4-Glc], [1, 4-Glc]})","Exchange/demand reaction"
EX_glygn5[e],"Exchange of Glycogen, Structure 5 (Glycogenin-2[1, 4-Glc])","Exchange/demand reaction"
EX_gmp[e],"Exchange of GMP ","Exchange/demand reaction"
EX_gp1c_hs[e],"Exchange of Gp1C (Homo Sapiens) ","Exchange/demand reaction"
EX_gp1calpha_hs[e],"Exchange of Gp1C Alpha (Homo Sapiens) ","Exchange/demand reaction"
EX_gq1b_hs[e],"Exchange of Gq1B (Homo Sapiens) ","Exchange/demand reaction"
EX_gq1balpha_hs[e],"Exchange of Gq1Balpha (Homo Sapiens) ","Exchange/demand reaction"
EX_gsn[e],"Exchange of Guanosine","Exchange/demand reaction"
EX_gt1a_hs[e],"Exchange of Gt1A (Homo Sapiens) ","Exchange/demand reaction"
EX_gthox[e],"Exchange of Oxidized Glutathione ","Exchange/demand reaction"
EX_gthrd[e],"Exchange of Reduced Glutathione ","Exchange/demand reaction"
EX_gtp[e],"Exchange of GTP ","Exchange/demand reaction"
EX_h2o2[e],"Exchange of Hydrogen Peroxide ","Exchange/demand reaction"
EX_ha[e],"Exchange of Hyaluronan ","Exchange/demand reaction"
EX_ha_pre1[e],"Exchange of Hyaluronan Biosynthesis, Precursor 1 ","Exchange/demand reaction"
EX_hco3[e],"Exchange of Bicarbonate ","Exchange/demand reaction"
EX_hcoumarin[e],"Exchange of Hydroxy Coumarin ","Exchange/demand reaction"
EX_hdca[e],"Exchange of Hexadecanoate (N-C16:0) ","Exchange/demand reaction"
EX_hdcea[e],"Exchange of Hexadecenoate (N-C16:1)","Exchange/demand reaction"
EX_hestratriol[e],"Exchange of 4, 17 Dihydroxy Estradiol ","Exchange/demand reaction"
EX_hexc[e],"Exchange of Hexacosanoate (N-C26:0) ","Exchange/demand reaction"
EX_hista[e],"Exchange of Histamine ","Exchange/demand reaction"
EX_hom_L[e],"Exchange of L-Homoserine ","Exchange/demand reaction"
EX_hpdca[e],"Exchange of Heptadecanoate ","Exchange/demand reaction"
