Var1,Var2
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.19.1"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Organic Anion Transporter 5 Utilized Transport"
"Transport, extracellular","Nucleobase:Cation Symporter-2 (Ncs2) Tcdb:2.A.40.6.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.7"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.7"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.16.1"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3"
"Transport, extracellular","Zinc (Zn2+)-Iron (Fe2+) Permease (Zip), Tcdb:2.A.53.2.2"
"Transport, extracellular","Concentrative Nucleoside Transporter (Cnt) Tcdb:2.A.41.2.3"
"Transport, extracellular","Concentrative Nucleoside Transporter (Cnt) Tcdb:2.A.41.2.4"
"Transport, extracellular","Cation Diffusion Facilitator (Cdf) Tcdb:2.A.4.2.3"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.18.8.1"
"Transport, mitochondrial","Major Facilitator (Mfs) Tcdb:2.A.1.4.7"
"Transport, endoplasmic reticular","Major Facilitator (Mfs) Tcdb:2.A.1.4.5"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, extracellular","Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3"
"Transport, endoplasmic reticular","ATP-Binding Cassette (ABC) Tcdb:3.A.1.208.8"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, peroxisomal","Major Facilitator (Mfs) Tcdb:2.A.1.13.1"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.1"
"Transport, peroxisomal","ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.1"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, mitochondrial","Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.1"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.44.1"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.44.1"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.44.1"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.44.1"
"Transport, extracellular","Major Facilitator (Mfs) Tcdb:2.A.1.44.1"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, endoplasmic reticular","Utilized Transport"
"Transport, mitochondrial","Postulated Transport Reaction"
Exchange/demand reaction,"Exchange of Sulfite "
Exchange/demand reaction,"Exchange of Spermine"
Pentose phosphate pathway,"Diamine N-Acetyltransferase"
Fatty acid synthesis,"Palmitoyl Coenzyme A Hydrolase"
Miscellaneous,"Alcohol Dehydrogenase (NADP+)"
Pyrimidine synthesis,"DTMP Kinase"
Pyrimidine synthesis,"Nucleoside-Diphosphate Kinase"
Pyrimidine synthesis,"Nucleoside-Diphosphate Kinase"
Pyrimidine synthesis,"Nucleoside-Diphosphate Kinase"
Pyrimidine synthesis,"Ribonucleoside-Diphosphate Reductase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Tryptophan metabolism,"RE0549C"
Fatty acid synthesis,"RE0565C"
Fatty acid synthesis,"RE0566C"
Fatty acid synthesis,"RE0567C"
Fatty acid synthesis,"RE0568C"
Fatty acid synthesis,"RE0569C"
Fatty acid synthesis,"RE0569E"
Fatty acid synthesis,"RE0570C"
Fatty acid synthesis,"RE0571C"
Fatty acid synthesis,"RE0574C"
Fatty acid synthesis,"RE0575C"
Fatty acid synthesis,"RE0576C"
Fatty acid synthesis,"Palmitoyl Coenzyme A Hydrolase"
Fatty acid synthesis,"Palmitoyl Coenzyme A Hydrolase"
Fatty acid synthesis,"Palmitoyl Coenzyme A Hydrolase"
Fatty acid synthesis,"RE0581C"
Fatty acid synthesis,"RE0583C"
Urea cycle,"RE0688E"
Urea cycle,"RE0689E"
Urea cycle,"RE0690E"
Urea cycle,"RE0691C"
Urea cycle,"RE0827E"
Urea cycle,"RE0828E"
Tetrahydrobiopterin metabolism,"4A-Hydroxytetrahydrobiopterin Dehydratase"
Tetrahydrobiopterin metabolism,"4A-Hydroxytetrahydrobiopterin Dehydratase"
Tyrosine metabolism,"Steryl-Sulfatase"
Tyrosine metabolism,"RE0912C"
Starch and sucrose metabolism,"Alpha-Amylase"
Starch and sucrose metabolism,"Alpha-Amylase"
Tyrosine metabolism,"Steryl-Sulfatase"
Tyrosine metabolism,"Steryl-Sulfatase"
Starch and sucrose metabolism,"Alpha-Amylase"
Starch and sucrose metabolism,"Alpha-Amylase"
Miscellaneous,"RE0936E"
Miscellaneous,"RE0937E"
Miscellaneous,"RE0938E"
Starch and sucrose metabolism,"Alpha-Amylase"
Starch and sucrose metabolism,"Alpha-Amylase"
Starch and sucrose metabolism,"Alpha-Amylase"
Miscellaneous,"Peroxidase"
Eicosanoid metabolism,"Thromboxane-A Synthase"
Steroid metabolism,"RE1096C"
Steroid metabolism,"Steryl-Sulfatase"
Steroid metabolism,"Steryl-Sulfatase"
Steroid metabolism,"Steryl-Sulfatase"
Steroid metabolism,"RE1134C"
Steroid metabolism,"Steryl-Sulfatase"
Steroid metabolism,"Steryl-Sulfatase"
Tryptophan metabolism,"Kynurenine-Oxoglutarate Transaminase"
Urea cycle,"Diamine N-Acetyltransferase"
Urea cycle,"RE1235C"
Lysine metabolism,"Dopamine Beta-Monooxygenase"
"Valine, leucine, and isoleucine metabolism","RE1266C"
Vitamin D metabolism,"RE1303C"
Fructose and mannose metabolism,"Aldehyde Reductase"
Phosphatidylinositol phosphate metabolism,"1-Phosphatidylinositol-4-Phosphate 5-Kinase"
Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase"
Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase"
Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase"
Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase"
Fatty acid oxidation,"RE1516M"
Fatty acid oxidation,"RE1516X"
Fatty acid oxidation,"RE1517M"
Fatty acid oxidation,"RE1517X"
Fatty acid oxidation,"RE1518M"
Fatty acid oxidation,"RE1518X"
Fatty acid oxidation,"RE1519X"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"Enoyl Coenzyme A Hydratase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"3-Hydroxyacyl Coenzyme A Dehydrogenase"
Fatty acid oxidation,"RE1527X"
Pyrimidine synthesis,"Thymidine Kinase"
Pyrimidine synthesis,"Thymidine Kinase"
Fatty acid oxidation,"Acetyl Coenzyme A C-Acyltransferase"
Fatty acid oxidation,"Acetyl Coenzyme A C-Acyltransferase"
